"area","supply","demand","market_type"
"Four Points by Sheraton Bengaluru Whitefield, Bangalore","1","551","Saturated"
"HBR Layout, Bangalore","17","39281","Moderate"
"Koramangala 7th Block, Bangalore","31","265841","High Opportunity"
"Kaggadasapura, Bangalore","17","53549","Moderate"
"Koramangala 1st Block, Bangalore","24","81417","High Opportunity"
"La Marvella Hotel, Bangalore","1","197","Saturated"
"Bellandur, Bangalore","69","243972","High Opportunity"
"Comfort Inn Insys, Yeshwantpur, Bangalore","1","167","Saturated"
"Hotel Southern Star, Lavelle Road, Bangalore","1","1122","Saturated"
"Prestige Trade Tower, Race Course Road, Bangalore","2","1605","Saturated"
"Orion Mall, Malleshwaram, Bangalore","11","27543","Moderate"
"Church Street, Bangalore","20","36978","Moderate"
"Vijay Nagar, Bangalore","64","260330","High Opportunity"
"St. Marks Road, Bangalore","14","31871","Moderate"
"Jalahalli, Bangalore","34","121594","High Opportunity"
"Bannerghatta Road, Bangalore","88","361441","High Opportunity"
"Koramangala 8th Block, Bangalore","10","22765","Moderate"
"Residency Road, Bangalore","16","58282","High Opportunity"
"Mysore Road, Bangalore","3","11700","Moderate"
"Chairman's Resort, Bangalore","1","273","Saturated"
"RMZ Ecoworld, Bellandur, Bangalore","7","8746","Moderate"
"Hotel Chalukya, Race Course Road, Bangalore","2","1625","Saturated"
"Nagawara, Bangalore","32","138103","High Opportunity"
"Race Course Road, Bangalore","2","6605","Moderate"
"Whitefield, Bangalore","130","492728","High Opportunity"
"ITPL Main Road, Whitefield, Bangalore","12","6079","Saturated"
"Hosur Road, Bangalore","5","31604","Moderate"
"Eden Park Restaurants, Bangalore","1","203","Saturated"
"Magadi Road, Bangalore","1","1015","Saturated"
"Sanjay Nagar, Bangalore","23","13485","Moderate"
"Svenska Design Hotel, Electronic City, Bangalore","2","1197","Saturated"
"Basavanagudi, Bangalore","73","271360","High Opportunity"
"By The Way, Electronic City, Bangalore","1","511","Saturated"
"Old Airport Road, Bangalore","23","144352","High Opportunity"
"Yelahanka, Bangalore","6","18490","Moderate"
"Sahakara Nagar, Bangalore","28","53805","Moderate"
"Kanakapura Road, Bangalore","19","31451","Moderate"
"Sarjapur Road, Bangalore","86","251682","High Opportunity"
"Domlur, Bangalore","13","43397","Moderate"
"JP Nagar, Bangalore","136","554691","High Opportunity"
"Fairfield by Marriott,Rajajinagar , Bangalore","1","107","Saturated"
"Brookefields Mall, Brookefield, Bangalore","4","28329","Moderate"
"Lavelle Road, Bangalore","11","15915","Moderate"
"Koramangala 5th Block, Bangalore","63","464336","High Opportunity"
"Sigma Mall, Cunningham Road, Bangalore","1","3166","Saturated"
"Brookefield, Bangalore","69","462607","High Opportunity"
"Kalyan Nagar, Bangalore","88","320442","High Opportunity"
"Nagarbhavi, Bangalore","17","53594","Moderate"
"Indiranagar, Bangalore","151","668104","High Opportunity"
"153 Biere Street, Bangalore","1","10568","Moderate"
"Hesaraghatta, Bangalore","3","18450","Moderate"
"Commercial Street, Bangalore","8","17934","Moderate"
"Sankey Road, Bangalore","2","9034","Moderate"
"Kemp Fort Mall, Old Airport Road, Bangalore","2","6790","Moderate"
"Uttarahalli, Bangalore","14","31985","Moderate"
"Vega City, Bannerghatta Road, Bangalore","10","24990","Moderate"
"Coastal King, Bangalore, Bangalore","2","1859","Saturated"
"Jakkur, Bangalore","9","11046","Moderate"
"Krishna Kuteer, HSR, Bangalore","1","1696","Saturated"
"Electronic City, Bangalore","144","670500","High Opportunity"
"Infantry Road, Bangalore","3","591","Saturated"
"Windmills Craftworks, Bangalore","1","1230","Saturated"
"MG Road, Bangalore","15","23485","Moderate"
"RT Nagar, Bangalore","27","63198","High Opportunity"
"Malleshwaram, Bangalore","73","310202","High Opportunity"
"Total Mall, Sarjapur Road, Bangalore","1","9338","Moderate"
"Royal Meenakshi Mall, Bannerghatta Road, Bangalore","7","20113","Moderate"
"1 MG Road Mall, MG Road, Bangalore","1","113","Saturated"
"Kadubeesanahalli, Bangalore","6","13577","Moderate"
"Garuda Mall, Magrath Road, Bangalore","4","6728","Moderate"
"HSR, Bangalore","187","1133324","High Opportunity"
"Orion East, Banaswadi, Bangalore","2","2456","Saturated"
"Kumaraswamy Layout, Bangalore","25","135878","High Opportunity"
"Majestic, Bangalore","22","15154","Moderate"
"Goldfinch Hotel, Seshadripuram, Bangalore","1","939","Saturated"
"Marathahalli, Bangalore","124","806760","High Opportunity"
"City Market, Bangalore","7","6804","Moderate"
"UB City, Bangalore","5","8280","Moderate"
"Shivajinagar, Bangalore","14","33715","Moderate"
"New BEL Road, Bangalore","94","305451","High Opportunity"
"Banashankari, Bangalore","79","304144","High Opportunity"
"Inorbit Mall, Whitefield, Bangalore","2","5902","Saturated"
"Bommasandra, Bangalore","26","33837","Moderate"
"Peenya, Bangalore","7","7324","Moderate"
"VR Bengaluru, Whitefield, Bangalore","2","3633","Saturated"
"Old Madras Road, Bangalore","6","35405","Moderate"
"5th Avenue, Brigade Road, Bangalore","1","795","Saturated"
"Brigade Road, Bangalore","23","34394","Moderate"
"BluPetal Hotel, Koramangala, Bangalore","1","5549","Saturated"
"The Den, Whitefield, Bangalore","1","330","Saturated"
"Vasanth Nagar, Bangalore","10","8818","Moderate"
"Yeshwantpur, Bangalore","40","113433","High Opportunity"
"Banaswadi, Bangalore","36","104532","High Opportunity"
"KBR Mall, Marathahalli, Bangalore","2","13372","Moderate"
"Langford Town, Bangalore","1","2433","Saturated"
"Rajajinagar, Bangalore","85","247004","High Opportunity"
"Wilson Garden, Bangalore","8","10928","Moderate"
"Thippasandra, Bangalore","13","70388","High Opportunity"
"Hebbal, Bangalore","21","63274","High Opportunity"
"Royal Orchid Suites, Whitefield, Bangalore","1","186","Saturated"
"Bangalore Central, Bellandur, Bangalore","2","15925","Moderate"
"Tamarind Hospitality, Bangalore","1","6447","Moderate"
"Hennur, Bangalore","32","97835","High Opportunity"
"Jayanagar, Bangalore","120","479429","High Opportunity"
"CV Raman Nagar, Bangalore","18","36178","Moderate"
"Mantri Square, Malleshwaram, Bangalore","12","34160","Moderate"
"Forum Mall, Koramangala, Bangalore","4","16230","Moderate"
"Sadashiv Nagar, Bangalore","15","19490","Moderate"
"Varthur Main Road, Whitefield, Bangalore","13","64200","High Opportunity"
"Seshadripuram, Bangalore","20","51167","Moderate"
"Shanti Nagar, Bangalore","12","26660","Moderate"
"Kammanahalli, Bangalore","58","194193","High Opportunity"
"Phoenix Marketcity Bangalore, Whitefield, Bangalore","10","15484","Moderate"
"Rajarajeshwari Nagar, Bangalore","28","58620","High Opportunity"
"Richmond Road, Bangalore","9","15435","Moderate"
"Elements Mall, Nagawara, Bangalore","2","3556","Saturated"
"Virginia Mall, Whitefield, Bangalore","1","908","Saturated"
"Ulsoor, Bangalore","18","59758","High Opportunity"
"Koramangala 6th Block, Bangalore","27","120688","High Opportunity"
"Basaveshwara Nagar, Bangalore","44","191387","High Opportunity"
"Abhimaani Vasathi, Bangalore","1","122","Saturated"
"Hotel Bangalore International, Bangalore","1","20","Saturated"
"Bangalore Central, JP Nagar, Bangalore","1","5756","Saturated"
"Richmond Town, Bangalore","3","6075","Saturated"
"Skywalk, Ulsoor, Bangalore","1","53","Saturated"
"The President Hotel, Jayanagar, Bangalore","1","3965","Saturated"
"Rammurthy Nagar, Bangalore","28","43444","Moderate"
"Ascendas Park Square, Whitefield, Bangalore","7","26982","Moderate"
"Coraltree, RT Nagar, Bangalore","1","912","Saturated"
"Koramangala 2nd Block, Bangalore","1","399","Saturated"
"ITC Gardenia, Bangalore","1","392","Saturated"
"Gopalan Innovation Mall, Bannerghatta, Bangalore","2","14235","Moderate"
"Ejipura, Bangalore","7","9853","Moderate"
"KR Puram, Bangalore","27","69861","High Opportunity"
"Frazer Town, Bangalore","55","143679","High Opportunity"
"Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore","1","7404","Moderate"
"BTM, Bangalore","137","1096614","High Opportunity"
"Forum Neighbourhood Mall, Whitefield, Bangalore","3","3744","Saturated"
"Koramangala 4th Block, Bangalore","18","103943","High Opportunity"
"Cunningham Road, Bangalore","15","14985","Moderate"
"Bommanahalli, Bangalore","42","85961","High Opportunity"
"Radha Hometel, Bangalore","1","319","Saturated"
"Koramangala 3rd Block, Bangalore","2","1826","Saturated"
"Forum Shantiniketan Mall, Whitefield, Bangalore","8","9372","Moderate"
"Jeevan Bhima Nagar, Bangalore","24","131649","High Opportunity"
"The Fern Residency, Bangalore","1","138","Saturated"
"Hotel Ramanashree, Bangalore","1","562","Saturated"
